Metric,Value
macTxDrop,0
macRxDrop,5802103
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,261954
dropTxing,71592
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,66784
dropPreambleDetectFailure,5376728
dropReceptionAbortedByTx,0
dropLSigFailure,14
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,24863
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,168
